,Both Sets,ack_present,ack_absent,Percent Present
PeerJ,5346,3874.0,1472.0,0.7246539468761691
"Materials (Basel, Switzerland)",5307,4692.0,615.0,0.8841153193894856
Malaria journal,5199,3066.0,2133.0,0.5897287939988459
The Pan African medical journal,5178,1230.0,3948.0,0.23754345307068367
Frontiers in human neuroscience,5147,3769.0,1378.0,0.7322712259568681
Nanoscale research letters,5097,1872.0,3225.0,0.36727486756915834
Frontiers in physiology,4901,3383.0,1518.0,0.6902672923893083
Nutrients,4724,3982.0,742.0,0.8429297205757832
Oncology letters,4594,2923.0,1671.0,0.6362646930779278
SpringerPlus,4580,3980.0,600.0,0.868995633187773
Journal of medical case reports,4400,1454.0,2946.0,0.33045454545454545
PLoS biology,4233,2867.0,1366.0,0.6772974249940941
Genome biology,4200,2431.0,1769.0,0.5788095238095238
International journal of nanomedicine,4168,3757.0,411.0,0.9013915547024952
BMC musculoskeletal disorders,4143,2431.0,1712.0,0.5867728699010379
Trials,4119,2604.0,1515.0,0.6321922796795338
Parasites & vectors,4108,2690.0,1418.0,0.6548198636806232
Arthritis research & therapy,4066,2112.0,1954.0,0.5194294146581406
The Yale journal of biology and medicine,4041,199.0,3842.0,0.049245236327641675
Diabetes care,3944,3797.0,147.0,0.9627281947261663
Cell death & disease,3932,3739.0,193.0,0.9509155645981688
Ecology and evolution,3904,3797.0,107.0,0.9725922131147541
ZooKeys,3860,3692.0,168.0,0.9564766839378238
Experimental and therapeutic medicine,3797,2323.0,1474.0,0.6117987885172504
BMC evolutionary biology,3725,1798.0,1927.0,0.48268456375838925
Mediators of inflammation,3724,2315.0,1409.0,0.6216433941997852
Medical science monitor : international medical journal of experimental and clinical research,3714,801.0,2913.0,0.21567043618739903
Frontiers in neuroscience,3711,2742.0,969.0,0.7388843977364592
Frontiers in pharmacology,3506,2225.0,1281.0,0.634626354820308
BMC complementary and alternative medicine,3402,2206.0,1196.0,0.6484420928865373
BMC microbiology,3389,1630.0,1759.0,0.48096783712009444
Virology journal,3384,1492.0,1892.0,0.44089834515366433
PLoS medicine,3359,1843.0,1516.0,0.5486752009526645
Molecular biology of the cell,3279,3039.0,240.0,0.9268069533394327
Indian journal of psychiatry,3260,302.0,2958.0,0.09263803680981596
Journal of the American Heart Association,3224,1040.0,2184.0,0.3225806451612903
Chemical science,3224,3128.0,96.0,0.9702233250620348
Journal of cellular and molecular medicine,3151,2726.0,425.0,0.8651221834338305
BMC psychiatry,3142,1927.0,1215.0,0.6133036282622534
Molecular medicine reports,3131,2555.0,576.0,0.8160332162248483
Diabetes,3099,3043.0,56.0,0.9819296547273314
Journal of physical therapy science,3027,1020.0,2007.0,0.33696729435084244
"Clinical ophthalmology (Auckland, N.Z.)",2969,1178.0,1791.0,0.39676658807679355
Journal of translational medicine,2966,1643.0,1323.0,0.5539447066756574
World journal of surgical oncology,2949,1394.0,1555.0,0.47270261105459477
Journal of experimental botany,2945,2776.0,169.0,0.9426146010186757
Japanese journal of cancer research : Gann,2904,0.0,2904.0,0.0
mBio,2874,2556.0,318.0,0.8893528183716075
OncoTargets and therapy,2853,1842.0,1011.0,0.6456361724500526
BMC pregnancy and childbirth,2819,1870.0,949.0,0.6633557999290528
BMC plant biology,2765,1558.0,1207.0,0.5634719710669078
Indian journal of ophthalmology,2742,386.0,2356.0,0.14077315827862874
Oxidative medicine and cellular longevity,2710,2260.0,450.0,0.8339483394833949
Frontiers in neurology,2709,1459.0,1250.0,0.5385751199704688
Breast cancer research : BCR,2674,1326.0,1348.0,0.49588631264023936
The Ulster medical journal,2669,141.0,2528.0,0.05282877482203072
Journal of medical Internet research,2652,2252.0,400.0,0.8491704374057315
Data in brief,2651,2255.0,396.0,0.8506224066390041
Neural regeneration research,2634,755.0,1879.0,0.28663629460895973
"Bioinformatics (Oxford, England)",2612,1701.0,911.0,0.6512251148545176
Cureus,2597,503.0,2094.0,0.19368502117828262
International journal of surgery case reports,2593,583.0,2010.0,0.2248360971847281
Molecular vision,2579,2442.0,137.0,0.9468786351298953
Nature,2532,2524.0,8.0,0.9968404423380727
Marine drugs,2520,2360.0,160.0,0.9365079365079365
F1000Research,2513,1169.0,1344.0,0.46518105849582175
Beilstein journal of organic chemistry,2506,2153.0,353.0,0.8591380686352753
Yonsei medical journal,2478,1151.0,1327.0,0.46448748991121874
Viruses,2449,2229.0,220.0,0.9101674152715394
Neuropsychiatric disease and treatment,2401,1389.0,1012.0,0.578508954602249
Frontiers in cellular neuroscience,2397,1870.0,527.0,0.7801418439716312
BMC veterinary research,2381,1474.0,907.0,0.619067618647627
The Medico-chirurgical review,2375,0.0,2375.0,0.0
The Journal of biological chemistry,2320,1892.0,428.0,0.8155172413793104
Frontiers in genetics,2308,1801.0,507.0,0.7803292894280762
"Acta crystallographica. Section E, Crystallographic communications",2291,1895.0,396.0,0.8271497162811
Health and quality of life outcomes,2247,1307.0,940.0,0.5816644414775256
Respiratory research,2210,1308.0,902.0,0.5918552036199095
Chinese medical journal,2209,387.0,1822.0,0.1751923947487551
Indian journal of dermatology,2200,211.0,1989.0,0.0959090909090909
The Indian journal of medical research,2197,1024.0,1173.0,0.46609012289485663
Frontiers in oncology,2182,1125.0,1057.0,0.5155820348304307
Journal of neuroinflammation,2179,1270.0,909.0,0.5828361633776962
BMC pediatrics,2166,1229.0,937.0,0.5674053554939982
Preventing chronic disease,2164,1777.0,387.0,0.8211645101663586
BMC medical education,2141,1313.0,828.0,0.6132648295189164
"Clinics (Sao Paulo, Brazil)",2132,316.0,1816.0,0.14821763602251406
Toxins,2120,1791.0,329.0,0.844811320754717
"Radiation oncology (London, England)",2104,847.0,1257.0,0.40256653992395436
Molecular cancer,2101,1070.0,1031.0,0.5092812946216088
Surgical neurology international,2082,287.0,1795.0,0.1378482228626321
Science advances,2080,2060.0,20.0,0.9903846153846154
Case reports in medicine,2080,616.0,1464.0,0.29615384615384616
Bristol medico-chirurgical journal (1883),2078,0.0,2078.0,0.0
Frontiers in behavioral neuroscience,2070,1624.0,446.0,0.7845410628019324
BMC neurology,2034,1112.0,922.0,0.5467059980334317
Lipids in health and disease,2033,1035.0,998.0,0.5090998524348254
"Drug design, development and therapy",2014,1344.0,670.0,0.6673286991062563
The Korean journal of internal medicine,2014,480.0,1534.0,0.23833167825223436
BMC medicine,2011,1052.0,959.0,0.5231228244654401
Royal Society open science,1991,1611.0,380.0,0.8091411351079859
"G3 (Bethesda, Md.)",1969,1896.0,73.0,0.962925342813611
JSLS : Journal of the Society of Laparoendoscopic Surgeons,1961,132.0,1829.0,0.06731259561448241
Frontiers in endocrinology,1942,1138.0,804.0,0.5859938208032955
Physiological reports,1939,1020.0,919.0,0.5260443527591542
Indian journal of anaesthesia,1919,196.0,1723.0,0.10213652944241793
Indian journal of endocrinology and metabolism,1910,339.0,1571.0,0.1774869109947644
BMC nephrology,1902,1103.0,799.0,0.5799158780231335
Journal of visualized experiments : JoVE,1902,1826.0,76.0,0.9600420609884333
International journal of chronic obstructive pulmonary disease,1886,1278.0,608.0,0.6776246023329798
BMC gastroenterology,1876,861.0,1015.0,0.458955223880597
Genome biology and evolution,1868,1773.0,95.0,0.9491434689507494
BMC genetics,1857,1172.0,685.0,0.6311254711900915
Journal of biomedicine & biotechnology,1849,1477.0,372.0,0.7988101676581936
Iranian journal of public health,1844,1715.0,129.0,0.9300433839479393
BMC systems biology,1842,731.0,1111.0,0.3968512486427796
Frontiers in aging neuroscience,1824,1317.0,507.0,0.7220394736842105
BMC family practice,1814,1013.0,801.0,0.5584343991179713
Journal of insect science (Online),1800,1648.0,152.0,0.9155555555555556
BMC medical genetics,1795,1028.0,767.0,0.5727019498607242
Transactions. Edinburgh Obstetrical Society,1765,0.0,1765.0,0.0
BMC neuroscience,1757,1003.0,754.0,0.5708594194649972
Microbial cell factories,1754,1054.0,700.0,0.6009122006841505
BMC cardiovascular disorders,1754,1144.0,610.0,0.6522234891676169
Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],1737,1344.0,393.0,0.7737478411053541
Oncogene,1712,1676.0,36.0,0.9789719626168224
BMC medical research methodology,1711,815.0,896.0,0.47632963179427235
Disease markers,1704,690.0,1014.0,0.40492957746478875
Frontiers in psychiatry,1689,966.0,723.0,0.5719360568383659
Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,1688,881.0,807.0,0.5219194312796208
Pakistan journal of medical sciences,1687,463.0,1224.0,0.27445168938944875
Reproductive biology and endocrinology : RB&E,1681,893.0,788.0,0.5312314098750743
Korean journal of radiology,1667,205.0,1462.0,0.12297540491901619
Journal of cardiothoracic surgery,1649,582.0,1067.0,0.35294117647058826
Clinical interventions in aging,1641,946.0,695.0,0.5764777574649604
Frontiers in cellular and infection microbiology,1613,1266.0,347.0,0.7848729076255425
Biotechnology for biofuels,1613,1131.0,482.0,0.7011779293242405
The western journal of emergency medicine,1594,249.0,1345.0,0.1562107904642409
Korean journal of anesthesiology,1592,230.0,1362.0,0.1444723618090452
BMC geriatrics,1589,1028.0,561.0,0.6469477658904972
Journal of experimental & clinical cancer research : CR,1588,914.0,674.0,0.575566750629723
Cases journal,1585,214.0,1371.0,0.13501577287066246
Diagnostic pathology,1584,555.0,1029.0,0.3503787878787879
Therapeutics and clinical risk management,1567,586.0,981.0,0.37396298659859606
Journal of Cancer,1564,1258.0,306.0,0.8043478260869565
Plastic and reconstructive surgery. Global open,1550,2.0,1548.0,0.0012903225806451613
Cancer medicine,1546,1073.0,473.0,0.6940491591203105
Bioinformation,1538,1033.0,505.0,0.6716514954486346
The international journal of behavioral nutrition and physical activity,1535,831.0,704.0,0.5413680781758957
Journal of applied clinical medical physics,1533,202.0,1331.0,0.13176777560339203
Ancient science of life,1532,90.0,1442.0,0.0587467362924282
Archives of medical science : AMS,1523,711.0,812.0,0.46684175968483255
Gastroenterology research and practice,1522,822.0,700.0,0.5400788436268068
"Nanomaterials (Basel, Switzerland)",1517,1357.0,160.0,0.8945286750164799
Cardiovascular diabetology,1513,797.0,716.0,0.5267680105750165
Asian-Australasian journal of animal sciences,1512,1315.0,197.0,0.8697089947089947
Beilstein journal of nanotechnology,1509,1312.0,197.0,0.8694499668654738
Clinical case reports,1507,441.0,1066.0,0.29263437292634376
World journal of gastroenterology,1506,0.0,1506.0,0.0
EBioMedicine,1505,842.0,663.0,0.5594684385382059
The Journal of veterinary medical science,1502,1026.0,476.0,0.6830892143808256
Journal of surgical case reports,1501,171.0,1330.0,0.11392405063291139
NeuroImage. Clinical,1500,1271.0,229.0,0.8473333333333334
Implementation science : IS,1495,841.0,654.0,0.5625418060200669
Computational and mathematical methods in medicine,1494,1178.0,316.0,0.7884872824631861
Medical history,1492,121.0,1371.0,0.08109919571045576
International journal of medical sciences,1488,1050.0,438.0,0.7056451612903226
Stem cells international,1487,1178.0,309.0,0.7921990585070612
Retrovirology,1485,834.0,651.0,0.5616161616161616
Aging,1478,840.0,638.0,0.5683355886332883
Journal of the International AIDS Society,1478,736.0,742.0,0.4979702300405954
Journal of ophthalmology,1468,796.0,672.0,0.5422343324250681
The journal of headache and pain,1459,783.0,676.0,0.5366689513365319
BMC medical informatics and decision making,1454,744.0,710.0,0.5116918844566712
Frontiers in public health,1453,777.0,676.0,0.534755677907777
Journal of the American Chemical Society,1452,1442.0,10.0,0.9931129476584022
Indian journal of pharmacology,1449,464.0,985.0,0.3202208419599724
Orphanet journal of rare diseases,1446,746.0,700.0,0.5159059474412172
Biomedical engineering online,1425,782.0,643.0,0.5487719298245614
Iranian Red Crescent medical journal,1425,1137.0,288.0,0.7978947368421052
Patient preference and adherence,1422,949.0,473.0,0.6673699015471167
Stem cell research & therapy,1421,964.0,457.0,0.6783954961294862
BMC ophthalmology,1400,978.0,422.0,0.6985714285714286
Translational psychiatry,1396,1316.0,80.0,0.9426934097421203
Journal of neurosciences in rural practice,1387,159.0,1228.0,0.11463590483056957
Anais brasileiros de dermatologia,1378,89.0,1289.0,0.06458635703918723
International journal of endocrinology,1376,925.0,451.0,0.6722383720930233
Frontiers in molecular neuroscience,1355,1052.0,303.0,0.7763837638376384
BMC pulmonary medicine,1346,860.0,486.0,0.6389301634472511
BMC biotechnology,1343,805.0,538.0,0.5994043186895012
International journal of biological sciences,1342,1234.0,108.0,0.9195230998509687
Iranian journal of pharmaceutical research : IJPR,1329,938.0,391.0,0.7057938299473289
"Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",1324,178.0,1146.0,0.13444108761329304
Journal of diabetes research,1321,1033.0,288.0,0.7819833459500378
Indian journal of orthopaedics,1319,72.0,1247.0,0.05458680818802123
BMC biology,1309,724.0,585.0,0.5530939648586708
Neural plasticity,1293,959.0,334.0,0.7416860015467904
Annals of dermatology,1292,385.0,907.0,0.2979876160990712
Global health action,1287,942.0,345.0,0.7319347319347319
Theranostics,1287,1172.0,115.0,0.9106449106449106
Lung India : official organ of Indian Chest Society,1284,173.0,1111.0,0.13473520249221183
Cancers,1280,977.0,303.0,0.76328125
"Internal medicine (Tokyo, Japan)",1277,321.0,956.0,0.2513703993735317
Journal of orthopaedic surgery and research,1276,777.0,499.0,0.6089341692789969
International journal of preventive medicine,1274,579.0,695.0,0.45447409733124017
Indian journal of urology : IJU : journal of the Urological Society of India,1270,122.0,1148.0,0.09606299212598425
Oncoimmunology,1267,508.0,759.0,0.40094711917916337
"Journal of anaesthesiology, clinical pharmacology",1266,122.0,1144.0,0.09636650868878358
Environmental health : a global access science source,1263,639.0,624.0,0.505938242280285
Transactions. Medico-Chirurgical Society of Edinburgh,1252,0.0,1252.0,0.0
Nutrition journal,1252,588.0,664.0,0.4696485623003195
Health care financing review,1237,755.0,482.0,0.6103476151980598
Annals of Indian Academy of Neurology,1236,176.0,1060.0,0.1423948220064725
International journal for equity in health,1233,840.0,393.0,0.681265206812652
Journal of immunology research,1228,928.0,300.0,0.755700325732899
Journal of applied oral science : revista FOB,1223,633.0,590.0,0.517579721995094
Korean circulation journal,1221,350.0,871.0,0.28665028665028663
MMWR. Morbidity and mortality weekly report,1210,546.0,664.0,0.4512396694214876
Acta orthopaedica,1203,765.0,438.0,0.6359102244389028
Genes,1194,1082.0,112.0,0.9061976549413735
Advanced biomedical research,1189,523.0,666.0,0.43986543313709
The American journal of case reports,1187,289.0,898.0,0.2434709351305813
Cancer science,1183,1040.0,143.0,0.8791208791208791
Biology open,1180,1043.0,137.0,0.8838983050847458
International journal of molecular medicine,1169,1030.0,139.0,0.8810949529512404
Contemporary clinical dentistry,1148,166.0,982.0,0.1445993031358885
Saudi journal of anaesthesia,1129,127.0,1002.0,0.112488928255093
Journal of neuroengineering and rehabilitation,1122,624.0,498.0,0.5561497326203209
Cell reports,1111,1093.0,18.0,0.9837983798379838
BMC oral health,1110,732.0,378.0,0.6594594594594595
Systematic reviews,1105,756.0,349.0,0.6841628959276018
Indian dermatology online journal,1104,64.0,1040.0,0.057971014492753624
Frontiers in computational neuroscience,1103,868.0,235.0,0.7869446962828649
Mental health (London),1096,0.0,1096.0,0.0
Vascular health and risk management,1095,415.0,680.0,0.3789954337899543
Journal of Indian Society of Periodontology,1093,199.0,894.0,0.18206770356816102
Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,1092,832.0,260.0,0.7619047619047619
Iranian journal of basic medical sciences,1090,1004.0,86.0,0.9211009174311927
The American journal of tropical medicine and hygiene,1085,655.0,430.0,0.6036866359447005
Case reports in oncology,1085,227.0,858.0,0.20921658986175115
Genome medicine,1078,459.0,619.0,0.42578849721706863
Stem cell reports,1077,1045.0,32.0,0.9702878365831012
Frontiers in systems neuroscience,1075,810.0,265.0,0.7534883720930232
Indian journal of pharmaceutical sciences,1067,698.0,369.0,0.6541705716963448
Journal of medicine and life,1058,6.0,1052.0,0.005671077504725898
Journal of Korean Neurosurgical Society,1057,342.0,715.0,0.32355723746452225
Pharmacognosy magazine,1050,648.0,402.0,0.6171428571428571
Journal of pharmacy & bioallied sciences,1047,216.0,831.0,0.20630372492836677
Open forum infectious diseases,1047,962.0,85.0,0.9188156638013372
Cancer cell international,1036,633.0,403.0,0.611003861003861
Radiology case reports,1035,48.0,987.0,0.0463768115942029
BMC proceedings,1034,321.0,713.0,0.3104448742746615
Journal of veterinary internal medicine,1032,968.0,64.0,0.937984496124031
Global journal of health science,1031,663.0,368.0,0.6430649854510184
Molecular pain,1030,424.0,606.0,0.4116504854368932
Indian journal of nephrology,1028,159.0,869.0,0.1546692607003891
Case reports in gastroenterology,1028,113.0,915.0,0.10992217898832685
Veterinary research,1024,602.0,422.0,0.587890625
Revista brasileira de ortopedia,1022,60.0,962.0,0.05870841487279843
Acta veterinaria Scandinavica,1022,576.0,446.0,0.5636007827788649
Molecular systems biology,1021,861.0,160.0,0.8432908912830558
Journal of clinical medicine research,1019,285.0,734.0,0.27968596663395484
Journal of pain research,1019,658.0,361.0,0.6457311089303238
Journal of conservative dentistry : JCD,1014,163.0,851.0,0.16074950690335305
EMBO molecular medicine,1007,901.0,106.0,0.8947368421052632
"Genetics, selection, evolution : GSE",1002,371.0,631.0,0.37025948103792417
Journal of biomedical science,1001,437.0,564.0,0.43656343656343655
Angewandte Chemie (International ed. in English),1000,629.0,371.0,0.629
Disease models & mechanisms,999,774.0,225.0,0.7747747747747747
Chemistry Central journal,993,452.0,541.0,0.4551863041289023
Clinical kidney journal,992,443.0,549.0,0.4465725806451613
Journal of hematology & oncology,991,581.0,410.0,0.58627648839556
Clinical & developmental immunology,989,651.0,338.0,0.6582406471183013
Annals of rehabilitation medicine,981,310.0,671.0,0.3160040774719674
JMIR research protocols,980,874.0,106.0,0.8918367346938776
BMC women's health,979,614.0,365.0,0.627170582226762
Journal of research of the National Institute of Standards and Technology,979,560.0,419.0,0.5720122574055159
Genetics and molecular biology,974,879.0,95.0,0.9024640657084189
Korean journal of ophthalmology : KJO,968,189.0,779.0,0.1952479338842975
Frontiers in pediatrics,967,361.0,606.0,0.3733195449844881
Nature neuroscience,966,959.0,7.0,0.9927536231884058
The Journal of biophysical and biochemical cytology,964,0.0,964.0,0.0
Arquivos brasileiros de cardiologia,960,130.0,830.0,0.13541666666666666
Microbial biotechnology,956,627.0,329.0,0.6558577405857741
Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,956,461.0,495.0,0.48221757322175735
Indian journal of plastic surgery : official publication of the Association of Plastic Surgeons of India,956,108.0,848.0,0.11297071129707113
Reproductive health,956,619.0,337.0,0.647489539748954
Redox biology,951,831.0,120.0,0.8738170347003155
Anatolian journal of cardiology,948,91.0,857.0,0.09599156118143459
Journal of diabetes investigation,947,742.0,205.0,0.7835269271383316
Archives of plastic surgery,944,28.0,916.0,0.029661016949152543
"Anesthesia, essays and researches",942,96.0,846.0,0.10191082802547771
Journal of family medicine and primary care,942,246.0,696.0,0.2611464968152866
Electronic physician,939,916.0,23.0,0.9755058572949947
Brain and behavior,935,761.0,174.0,0.813903743315508
Asian spine journal,930,174.0,756.0,0.1870967741935484
Frontiers in neural circuits,929,769.0,160.0,0.8277717976318623
Indian journal of psychological medicine,928,179.0,749.0,0.19288793103448276
Korean journal of urology,927,164.0,763.0,0.17691477885652643
Biomedical optics express,925,847.0,78.0,0.9156756756756756
European journal of dentistry,924,223.0,701.0,0.24134199134199133
Nutrition & metabolism,923,436.0,487.0,0.4723726977248104
BMC developmental biology,921,585.0,336.0,0.6351791530944625
"Scandinavian journal of trauma, resuscitation and emergency medicine",920,435.0,485.0,0.47282608695652173
Bioscience reports,918,349.0,569.0,0.3801742919389978
Frontiers in neuroanatomy,917,706.0,211.0,0.7699018538713195
Case reports in surgery,916,208.0,708.0,0.22707423580786026
North American journal of medical sciences,915,301.0,614.0,0.3289617486338798
BMC anesthesiology,913,627.0,286.0,0.6867469879518072
Journal of veterinary science,906,732.0,174.0,0.8079470198675497
Proceedings. Biological sciences,905,834.0,71.0,0.9215469613259668
BMC surgery,904,476.0,428.0,0.5265486725663717
Journal of oral and maxillofacial pathology : JOMFP,904,171.0,733.0,0.18915929203539822
Case reports in dentistry,891,209.0,682.0,0.2345679012345679
Infectious diseases in obstetrics and gynecology,891,194.0,697.0,0.21773288439955107
Gut and liver,890,382.0,508.0,0.42921348314606744
International journal of oncology,889,800.0,89.0,0.8998875140607424
Influenza and other respiratory viruses,884,681.0,203.0,0.7703619909502263
Proceedings of the National Academy of Sciences of the United States of America,883,868.0,15.0,0.9830124575311439
Human molecular genetics,879,776.0,103.0,0.8828213879408419
BMC medical genomics,875,430.0,445.0,0.49142857142857144
Veterinary world,873,868.0,5.0,0.9942726231386025
"Cell cycle (Georgetown, Tex.)",872,181.0,691.0,0.20756880733944955
Orthopaedic journal of sports medicine,865,236.0,629.0,0.2728323699421965
Eplasty,864,36.0,828.0,0.041666666666666664
Database : the journal of biological databases and curation,862,581.0,281.0,0.6740139211136891
Italian journal of pediatrics,858,402.0,456.0,0.46853146853146854
Journal of clinical biochemistry and nutrition,857,588.0,269.0,0.6861143523920653
BMC cell biology,855,531.0,324.0,0.6210526315789474
Biochemistry,854,636.0,218.0,0.7447306791569087
Journal of pediatric neurosciences,851,103.0,748.0,0.12103407755581669
Translational andrology and urology,851,833.0,18.0,0.9788484136310224
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",851,634.0,217.0,0.745005875440658
Hepatitis monthly,848,582.0,266.0,0.6863207547169812
Case reports in obstetrics and gynecology,839,229.0,610.0,0.2729439809296782
Netherlands heart journal : monthly journal of the Netherlands Society of Cardiology and the Netherlands Heart Foundation,836,448.0,388.0,0.5358851674641149
The Indian journal of radiology & imaging,834,117.0,717.0,0.14028776978417265
Journal of clinical and experimental dentistry,833,242.0,591.0,0.290516206482593
Dental research journal,832,321.0,511.0,0.3858173076923077
Saudi medical journal,828,294.0,534.0,0.35507246376811596
AMB Express,824,563.0,261.0,0.683252427184466
Psychiatry investigation,822,560.0,262.0,0.681265206812652
Nutrition research and practice,821,135.0,686.0,0.16443361753958588
"Medicina oral, patologia oral y cirugia bucal",821,296.0,525.0,0.36053593179049936
Indian journal of community medicine : official publication of Indian Association of Preventive & Social Medicine,819,245.0,574.0,0.29914529914529914
Asian journal of andrology,819,449.0,370.0,0.5482295482295483
BMC immunology,818,491.0,327.0,0.6002444987775061
The open orthopaedics journal,815,694.0,121.0,0.8515337423312883
Journal of epidemiology,815,749.0,66.0,0.9190184049079755
Asian journal of neurosurgery,814,85.0,729.0,0.10442260442260443
Evolutionary applications,813,762.0,51.0,0.9372693726937269
Ecancermedicalscience,813,246.0,567.0,0.3025830258302583
Case reports in orthopedics,812,171.0,641.0,0.2105911330049261
Computational intelligence and neuroscience,811,654.0,157.0,0.8064118372379778
BMC molecular biology,806,545.0,261.0,0.6761786600496278
Iranian journal of nursing and midwifery research,806,664.0,142.0,0.8238213399503722
Asian Pacific journal of cancer prevention : APJCP,805,476.0,329.0,0.591304347826087
Journal of radiation research,804,442.0,362.0,0.5497512437810945
Endoscopy international open,802,213.0,589.0,0.2655860349127182
Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association,800,130.0,670.0,0.1625
Oncology reports,799,652.0,147.0,0.8160200250312891
Journal of human kinetics,798,430.0,368.0,0.5388471177944862
Investigative ophthalmology & visual science,796,759.0,37.0,0.9535175879396985
Memorias do Instituto Oswaldo Cruz,794,484.0,310.0,0.6095717884130982
Molecular biology and evolution,792,778.0,14.0,0.9823232323232324
Indian pacing and electrophysiology journal,790,70.0,720.0,0.08860759493670886
BMC urology,790,489.0,301.0,0.6189873417721519
International journal of health geographics,789,449.0,340.0,0.5690747782002535
"Journal of emergencies, trauma, and shock",789,113.0,676.0,0.1432192648922687
FEBS open bio,788,730.0,58.0,0.9263959390862944
Diabetology & metabolic syndrome,784,413.0,371.0,0.5267857142857143
eNeuro,779,506.0,273.0,0.6495507060333762
European journal of medical research,778,228.0,550.0,0.2930591259640103
Annals of gastroenterology,777,82.0,695.0,0.10553410553410554
Standards in genomic sciences,777,674.0,103.0,0.8674388674388674
Journal of ophthalmic & vision research,774,135.0,639.0,0.1744186046511628
Human resources for health,773,486.0,287.0,0.628719275549806
Clinical endoscopy,771,107.0,664.0,0.13878080415045396
Leukemia,765,722.0,43.0,0.9437908496732026
Journal of neurogastroenterology and motility,763,129.0,634.0,0.1690694626474443
"Journal of health, population, and nutrition",760,187.0,573.0,0.24605263157894736
International journal of general medicine,755,362.0,393.0,0.4794701986754967
Nature genetics,752,746.0,6.0,0.9920212765957447
Open access Macedonian journal of medical sciences,752,122.0,630.0,0.1622340425531915
Iranian journal of pediatrics,751,466.0,285.0,0.6205059920106525
NDT plus,748,278.0,470.0,0.3716577540106952
The Korean journal of parasitology,747,605.0,142.0,0.8099062918340026
Korean journal of pediatrics,743,212.0,531.0,0.2853297442799462
Cardiovascular journal of Africa,743,269.0,474.0,0.3620457604306864
Dialogues in clinical neuroscience,740,184.0,556.0,0.24864864864864866
The Korean journal of thoracic and cardiovascular surgery,740,168.0,572.0,0.22702702702702704
"Indian journal of nuclear medicine : IJNM : the official journal of the Society of Nuclear Medicine, India",739,55.0,684.0,0.07442489851150202
Mycobiology,738,545.0,193.0,0.7384823848238482
