word,part_of_speech,observations,avg_gender_score,p_value,effect_size
edit,VERB,5625,0.5579111111111122,1.4813204063517829e-134,0.16326904116999974
cell,NOUN,5521,0.35495019018293633,1.1425184003834776e-09,-0.039691879758176174
anonymous,ADJ,5279,0.2605815495358958,2.2026638616364017e-93,-0.1340605204052167
early,ADJ,5144,0.3417340590979775,4.08960517080977e-15,-0.05290801084313501
editing,NOUN,5108,0.5411844166014097,5.876769918116453e-99,0.1465423466602972
phd,NOUN,4859,0.4905721341839897,1.2807309282161172e-41,0.0959300642428772
perform,VERB,4647,0.416935657413385,0.00209251052966744,0.022293587472272502
editorial,ADJ,4478,0.6397364895042406,3.027499663933868e-239,0.24509441956312805
version,NOUN,4422,0.34048620533695095,1.0216339748400976e-13,-0.05415586460416155
english,ADJ,4120,0.483851941747572,5.793245217266967e-31,0.0892098718064595
useful,ADJ,4070,0.27261179361179244,5.668156082076525e-60,-0.12203027632932006
language,NOUN,4052,0.4797877591312934,5.233965967072181e-28,0.0851456891901809
have,VERB,4031,0.35214338873728485,2.664496457877609e-08,-0.04249868120382766
article,NOUN,4024,0.4177758449304168,0.00284713923280412,0.0231337749893043
gift,NOUN,3800,0.2247342105263145,4.5020888266788864e-110,-0.169907859414798
draft,NOUN,3742,0.42682255478353776,6.386347246256383e-05,0.03218048484242525
mouse,NOUN,3702,0.3217801188546723,4.281248674326892e-20,-0.07286195108644022
express,VERB,3643,0.36301674444139354,8.385778048201718e-05,-0.03162532549971897
improve,VERB,3595,0.29652851182197454,1.8392512101851003e-34,-0.09811355811913797
facility,NOUN,3370,0.3458427299703262,4.780353858401243e-09,-0.04879933997078628
assist,VERB,3289,0.496108239586501,7.657256596613597e-32,0.10146616964538852
part,NOUN,3281,0.43056080463273355,3.1451970537761995e-05,0.035918734691621046
prepare,VERB,3241,0.5352761493366244,1.7871193472595168e-58,0.14063407939551187
medical,ADJ,3137,0.5553745616831378,1.6184324737384704e-73,0.1607324917420253
guidance,NOUN,3093,0.326563207242159,4.877500905219756e-15,-0.06807886269895352
thankful,ADJ,3038,0.3521000658327841,1.2550633615854461e-06,-0.042542004108328424
antibody,NOUN,3036,0.2490085638998674,1.6520914493649927e-64,-0.14563350604124511
design,NOUN,3031,0.3675057736720548,0.0020342593830758506,-0.027136296269057725
patient,NOUN,3031,0.4866776641372488,1.1895233151964808e-24,0.09203559419613627
indebted,ADJ,3017,0.35942658269804384,6.69711570901632e-05,-0.035215487243068666
writing,NOUN,3015,0.5678606965174133,6.903144402984622e-82,0.17321862657630083
that,ADJ,2988,0.3056894243641225,4.694184479177712e-24,-0.08895264557699001
team,NOUN,2910,0.4223539518900339,0.002406471174902167,0.02771188194892138
figure,NOUN,2881,0.43333911836167965,2.5159167493414213e-05,0.03869704842056715
input,NOUN,2867,0.3633623997209622,0.0005421420902358325,-0.031279670220150324
revision,NOUN,2864,0.45663407821228985,2.1000428931580422e-11,0.061992008271177346
many,ADJ,2848,0.319301264044943,7.668688368059825e-17,-0.07534080589616948
make,VERB,2813,0.3187522218272296,6.834520880223378e-17,-0.07588984811388289
use,NOUN,2754,0.2895424836601297,1.1826218305359414e-30,-0.10509958628098282
gratitude,NOUN,2737,0.3708403361344533,0.0098391962466858,-0.02380173380665923
line,NOUN,2645,0.29740642722117133,1.6606756212999052e-25,-0.09723564271994117
constructive,ADJ,2645,0.29381096408317503,3.385780454568197e-27,-0.10083110585793748
all,ADJ,2629,0.4608406238113347,7.20268892672637e-12,0.06619855387022222
which,ADJ,2627,0.3594899124476584,0.00020446674941081096,-0.03515215749345413
access,NOUN,2543,0.27480928037750607,7.103991972888819e-37,-0.11983278956360643
kind,ADJ,2521,0.30493058310194254,6.62555296961317e-21,-0.08971148683916996
share,VERB,2501,0.2944342263094754,1.4604877824397143e-25,-0.1002078436316371
generous,ADJ,2495,0.2694028056112216,2.457757635324536e-39,-0.1252392643298909
editor,NOUN,2462,0.21891145410235568,3.3982212291809254e-77,-0.17573061583875682
expert,ADJ,2401,0.5766472303207003,4.571963459765802e-72,0.1820051603795878
participate,VERB,2397,0.48596996245306684,2.0554517118623532e-19,0.09132789251195433
collect,VERB,2382,0.444941225860621,7.405147435646668e-07,0.05029915591950851
regard,VERB,2371,0.30212568536482415,6.738068065945571e-21,-0.09251638457628836
animal,NOUN,2330,0.473278969957082,1.7830745262276046e-14,0.07863690001596951
field,NOUN,2326,0.3267196904557175,1.0542868164450913e-11,-0.06792237948539498
conduct,VERB,2313,0.4608560311284048,1.437461916246492e-10,0.06621396118729228
give,VERB,2282,0.3555214723926373,0.00012547504812154467,-0.03912059754847519
image,NOUN,2263,0.3559213433495359,0.00015268771658119682,-0.038720726591576604
colleague,NOUN,2217,0.34445647271087,9.971672435830926e-07,-0.05018559723024252
develop,VERB,2178,0.31594123048668415,2.931087047547441e-14,-0.07870083945442835
participant,NOUN,2151,0.5479265457926553,2.17987174707657e-46,0.1532844758515428
insightful,ADJ,2148,0.2757309124767213,8.428711645112023e-31,-0.11891115746439118
dedicate,VERB,2146,0.22515843429636428,1.7532073416886689e-62,-0.16948363564474822
strain,NOUN,2122,0.3156032045240336,3.8032946712096045e-14,-0.07903886541707889
measurement,NOUN,2099,0.36427346355407325,0.003968808669881894,-0.030368606387039254
financial,ADJ,2098,0.34624880838894145,4.618136020148275e-06,-0.04839326155217105
clinical,ADJ,2007,0.5093672147483812,3.4602660969065193e-25,0.1147251448072687
program,NOUN,1993,0.36021575514300047,0.0014414682728425836,-0.034426314798112034
management,NOUN,1939,0.528174316658072,2.0956567775634355e-32,0.1335322467169595
plasmid,ADJ,1870,0.23475935828876962,7.207713152282518e-49,-0.15988271165234288
experimental,ADJ,1869,0.34574103798822864,1.3191010040316204e-05,-0.04890103195288387
fruitful,ADJ,1743,0.24032128514056153,1.9691205423600714e-42,-0.15432078480055098
editorial,NOUN,1738,0.5975719217491374,7.314596641727653e-65,0.20292985180802492
proofread,VERB,1737,0.49135290731145637,4.447037344068946e-16,0.09671083737034386
microscopy,NOUN,1718,0.4266763678696158,0.007124792891823679,0.03203429792850332
material,NOUN,1644,0.33236618004866153,1.7044469146826677e-07,-0.062275889892450975
do,VERB,1587,0.3426149968493986,1.768259042287003e-05,-0.052027073091713893
serve,VERB,1564,0.15335038363171352,9.100955148276274e-97,-0.24129168630939898
care,NOUN,1562,0.502592829705506,6.350140767992415e-18,0.1079507597643935
effort,NOUN,1529,0.445938521909745,5.5405953866296e-05,0.05129645196863247
software,NOUN,1509,0.1707620941020538,1.686218856097222e-79,-0.2238799758390587
supply,VERB,1485,0.2914545454545447,9.155633184590501e-17,-0.10318752448656782
service,NOUN,1480,0.483912162162162,4.135785525393799e-12,0.08927009222104948
tissue,NOUN,1475,0.44976271186440686,1.9904418920210984e-05,0.055120641923294356
encouragement,NOUN,1474,0.21704206241519625,4.434383989046999e-48,-0.17760000752591626
obtain,VERB,1434,0.3332287308228728,1.29099518466273e-06,-0.06141333911823971
plasmid,NOUN,1430,0.24102097902097835,7.939354428036118e-35,-0.15362109092013415
model,NOUN,1425,0.24875789473684165,2.6875005247821443e-31,-0.14588417520427086
memory,NOUN,1422,0.2312025316455691,3.1885036081966635e-39,-0.16343953829554342
careful,ADJ,1416,0.43552259887005595,0.0021154780158985685,0.04088052892894345
student,NOUN,1407,0.48431414356787544,1.1897902417015916e-11,0.08967207362676294
insight,NOUN,1378,0.3073076923076917,1.5568942395693828e-11,-0.08733437763342078
final,ADJ,1340,0.4651492537313431,1.9252533010039685e-07,0.07050718379023058
search,NOUN,1331,0.6974455296769354,3.096123602465031e-110,0.3028034597358229
result,NOUN,1329,0.3296237772761466,1.0120995226662166e-06,-0.0650182926649659
vector,NOUN,1318,0.23832321699544737,3.456712157679452e-33,-0.15631885294566514
dna,NOUN,1314,0.4500989345509892,5.353484709987765e-05,0.0554568646098767
text,NOUN,1262,0.46935023771790757,8.115695091186082e-08,0.07470816777679506
human,ADJ,1236,0.34009708737864075,7.46892224815522e-05,-0.054544982562471755
protein,NOUN,1232,0.3354058441558438,1.7945609008500936e-05,-0.059236225785268715
allow,VERB,1219,0.2898933552091874,2.0701398893274658e-14,-0.1047487147319251
expression,NOUN,1214,0.3041186161449752,5.229990889901039e-11,-0.0905234537961373
permission,NOUN,1186,0.30650927487352414,2.7014152604547743e-10,-0.08813279506758837
assay,NOUN,1183,0.46484361792054085,1.3926179681987745e-06,0.07020154797942835
culture,NOUN,1177,0.5328122344944777,1.3563640096184e-21,0.13817016455336517
processing,NOUN,1176,0.4470238095238095,0.0003045541952569742,0.052381739582696984
system,NOUN,1171,0.22997438087104996,5.646752640913482e-33,-0.16466768907006255
administrative,ADJ,1153,0.7289418907198625,1.4088796194507697e-116,0.33429982077875
grant,VERB,1138,0.3498769771528995,0.0019682655372877987,-0.044765092788213
acquisition,NOUN,1115,0.4462780269058296,0.0005321217475987725,0.05163595696471707
survey,NOUN,1096,0.4714689781021896,3.2644079856454464e-07,0.07682690816107707
process,NOUN,1095,0.48410045662100437,2.2049965714822824e-09,0.08945838667989187
late,ADJ,1090,0.20982568807339427,5.208908216602149e-39,-0.18481638186771823
construct,NOUN,1085,0.2839447004608293,2.734701416680603e-14,-0.11069736948028319
literature,NOUN,1078,0.6026994434137293,1.0212221981302906e-42,0.20805737347261677
take,VERB,1072,0.4597574626865668,2.090300111093359e-05,0.0651153927454543
provision,NOUN,1057,0.2651466414380322,1.0108039527516909e-18,-0.12949542850308032
previous,ADJ,1051,0.29411037107516624,1.225541378833022e-11,-0.10053169886594626
proofreading,NOUN,1051,0.48398667935299705,5.872674872149944e-09,0.08934460941188455
sincere,ADJ,1043,0.3415723873441993,0.00043269418252352257,-0.05306968259691319
electron,NOUN,1041,0.44555235350624356,0.0010819599269528356,0.050910283565131054
sequence,NOUN,1038,0.2839884393063585,6.752240510871329e-14,-0.11065363063475403
proof,NOUN,1035,0.5010048309178745,6.743629751148488e-12,0.106362760976762
data,NOUN,1028,0.45764591439688684,4.9686453937824936e-05,0.06300384445577434
number,NOUN,1027,0.3513242453748784,0.004044232920734835,-0.04331782456623412
thoughtful,ADJ,1022,0.3484637964774951,0.0023596999663801185,-0.046178273463617414
method,NOUN,1001,0.30343656343656283,1.6254995522508756e-09,-0.09120550650454967
interpretation,NOUN,980,0.3482653061224487,0.0029227430595830453,-0.04637676381866379
trial,NOUN,979,0.4913074565883556,1.5927719811421762e-09,0.09666538664724311
referee,NOUN,977,0.23584442169907863,7.774276356039486e-26,-0.15879764824203388
reagent,NOUN,953,0.27831059811122755,6.703849252693539e-14,-0.11633147182988496
gene,NOUN,942,0.31934182590233545,1.5142074627589208e-06,-0.07530024403877705
available,ADJ,940,0.2584787234042552,9.974499733093258e-19,-0.1361633465368573
specimen,NOUN,935,0.31866310160427774,1.1722173530058506e-06,-0.07597896833683476
recruitment,NOUN,927,0.6291477885652648,9.42765570009896e-47,0.23450571862415226
whose,ADJ,926,0.32938444924406,4.6299951390094796e-05,-0.06525762069705249
participation,NOUN,925,0.4533081081081075,0.0003160760626048333,0.058666038166995005
equipment,NOUN,899,0.24295884315906544,7.698207446561901e-22,-0.15168322678204707
nurse,NOUN,897,0.705340022296545,1.5200882172685767e-78,0.3106979523554325
health,NOUN,875,0.4423314285714282,0.004094722353516717,0.047689358630315704
cytometry,NOUN,867,0.46829296424452127,1.1600558686753586e-05,0.07365089430340876
set,VERB,861,0.311149825783972,2.8052695740440377e-07,-0.08349224415714052
plant,NOUN,859,0.34179278230500537,0.0013103745882440368,-0.052849287636107134
original,ADJ,851,0.3184018801410102,2.997223226479053e-06,-0.07624018980010233
blood,NOUN,846,0.5240898345153663,3.770040495281591e-14,0.12944776457425378
fund,NOUN,830,0.3118072289156628,6.256208249951514e-07,-0.08283484102544969
identification,NOUN,820,0.3169634146341463,3.261712513990078e-06,-0.07767865530696622
illustration,NOUN,817,0.464908200734394,5.98645258564412e-05,0.07026613079328148
test,NOUN,806,0.44744416873449117,0.0027656719719617957,0.05280209879337866
family,NOUN,805,0.4979006211180121,4.609721519710528e-09,0.10325855117689958
assistant,NOUN,799,0.59459324155194,5.505531271907532e-30,0.19995117161082754
testing,NOUN,794,0.45064231738035276,0.001777394360143003,0.05600024743924026
strain,VERB,786,0.3109287531806614,1.1443407881559783e-06,-0.08371331676045113
no,NOUN,745,0.45173154362416157,0.001849385653937502,0.05708947368304906
expert,NOUN,744,0.48106182795698943,2.6209413682612774e-06,0.08641975801587692
professional,ADJ,734,0.5026430517711175,5.330810225885999e-09,0.10800098183000495
procedure,NOUN,725,0.459393103448276,0.00040606053765149404,0.06475103350716349
present,VERB,721,0.3304854368932039,0.0003883329340901733,-0.06415663304790858
kind,NOUN,717,0.30987447698744763,2.485731091645373e-06,-0.08476759295366487
interest,NOUN,715,0.3085874125874126,1.6289799573855537e-06,-0.08605465735369988
continuous,ADJ,705,0.2751347517730496,2.087771165792638e-11,-0.11950731816806293
idea,NOUN,703,0.2929587482219056,1.5619408386646096e-08,-0.10168332171920691
resource,NOUN,699,0.2878540772532188,4.4398773320668486e-09,-0.10678799268789368
involve,VERB,697,0.454777618364419,0.001682611834238025,0.060135548423306484
x,NOUN,694,0.2530691642651295,3.6840206563480435e-15,-0.14157290567598302
submission,NOUN,690,0.5180289855072462,8.154093232077459e-11,0.12338691556613368
professor,NOUN,684,0.27480994152046795,3.92947508341789e-11,-0.11983212842064456
secretarial,ADJ,682,0.8494134897360711,2.2405928891731487e-132,0.4547714197949586
library,NOUN,678,0.4447050147492623,0.009470845919852304,0.05006294480814977
reference,NOUN,677,0.45044313146233383,0.004083406060574635,0.05580106152122133
code,NOUN,676,0.20576923076923093,9.456412521756367e-26,-0.18887283917188158
extraction,NOUN,675,0.5429481481481483,1.0517754015539893e-14,0.14830607820703579
translation,NOUN,672,0.5620684523809525,3.79834850598035e-18,0.16742638243983998
donation,NOUN,670,0.3011492537313431,3.902616733566429e-07,-0.0934928162097694
high,ADJ,668,0.3207485029940117,7.392264405558122e-05,-0.07389356694710081
director,NOUN,667,0.31493253373313346,2.1676165054190835e-05,-0.07970953620797905
consultant,NOUN,663,0.3403469079939668,0.003697949709270172,-0.05429516194714573
relate,VERB,660,0.34487878787878773,0.007612762379059869,-0.049763282062324776
year,NOUN,655,0.3189770992366407,5.2253547120294195e-05,-0.07566497070447181
course,NOUN,644,0.3367857142857143,0.0021623210615920336,-0.057856355655398206
ray,NOUN,640,0.24885937499999983,7.097129871918504e-15,-0.14578269494111268
maintain,VERB,634,0.3445741324921133,0.009267531735390081,-0.05006793744899918
coordinate,VERB,632,0.5572151898734173,2.1645856620318336e-16,0.16257311993230483
map,NOUN,622,0.3155466237942122,4.710033172018703e-05,-0.07909544614690028
spectrometry,NOUN,618,0.31741100323624594,7.550692443386253e-05,-0.07723106670486657
strategy,NOUN,617,0.6714100486223669,1.3879760864751894e-43,0.27676797868125436
foundation,NOUN,611,0.26602291325695576,2.0640873242157527e-11,-0.12861915668415674
technician,NOUN,604,0.5042715231788081,7.054325157577784e-08,0.10962945323769557
flow,ADJ,596,0.4524328859060404,0.004970720728042,0.05779081596492791
seed,NOUN,592,0.25722972972972985,2.0941142533020152e-12,-0.13741234021138266
structure,NOUN,591,0.23296108291032155,5.718187004964305e-17,-0.16168098703079095
construct,VERB,589,0.32205432937181666,0.0002392669023056576,-0.07258774056929584
produce,VERB,585,0.34208547008546986,0.008734331533704703,-0.05255659985564265
source,NOUN,583,0.28646655231560864,5.278597639737325e-08,-0.10817551762550387
histological,ADJ,582,0.5081443298969073,5.0156505925271384e-08,0.11350225995579477
former,ADJ,577,0.31616984402079695,8.681836194663744e-05,-0.07847222592031555
several,ADJ,575,0.2791478260869564,5.680738568347657e-09,-0.11549424385415613
donate,VERB,573,0.26439790575916233,4.834048274732738e-11,-0.13024416418195017
maintenance,NOUN,567,0.4930864197530865,2.670964970796483e-06,0.09844434981197397
questionnaire,NOUN,557,0.532405745062837,8.071594651956503e-11,0.1377636751217245
manager,NOUN,550,0.46218181818181825,0.0014337441439513376,0.06753974824070574
patient,ADJ,548,0.551131386861314,1.839808983433307e-13,0.15648931692020152
mass,ADJ,545,0.31873394495412816,0.00022579877325314214,-0.07590812498698435
bioinformatic,NOUN,543,0.27686924493554316,9.703808025019435e-09,-0.11777282500556935
coordinator,NOUN,543,0.6210497237569061,3.1713423566119e-26,0.22640765381579364
assessment,NOUN,537,0.5029795158286777,4.3806810088088954e-07,0.10833744588756522
subject,NOUN,535,0.46897196261682234,0.0006523639391627111,0.07432989267570983
concern,VERB,535,0.2507102803738317,2.618371138148689e-12,-0.1439317895672808
r,NOUN,527,0.22222011385199256,5.0925559749393725e-17,-0.17242195608911995
skillful,ADJ,524,0.717805343511451,1.4277273150154837e-50,0.32316327357033847
virus,NOUN,523,0.30323135755258096,1.349348078689966e-05,-0.09141071238853155
transgenic,ADJ,522,0.3209386973180076,0.0004677416042571991,-0.07370337262310489
suggest,VERB,513,0.2291423001949321,1.4102142417168715e-15,-0.16549976974618041
calculation,NOUN,512,0.24068359375000017,2.0643722060718384e-13,-0.15395847619111233
volunteer,NOUN,504,0.5215674603174607,1.3750779869498785e-08,0.1269253903763482
manage,VERB,500,0.5036800000000001,1.4191116406370107e-06,0.10903793005888762
mutant,ADJ,497,0.28758551307847074,5.090944646642531e-07,-0.10705655686264176
unpublished,ADJ,488,0.22797131147541003,5.561536291817381e-15,-0.16667075846570248
specie,NOUN,487,0.265934291581109,2.3740016368448934e-09,-0.12870777836000352
friend,NOUN,485,0.26160824742268063,5.067179527948487e-10,-0.13303382251843188
coordination,NOUN,484,0.6574793388429754,2.9434035213065335e-31,0.2628372689018629
computational,ADJ,484,0.19607438016528933,3.559290903196149e-21,-0.19856768977582318
criticism,NOUN,484,0.2670867768595044,3.836718579210269e-09,-0.12755529308160812
type,NOUN,482,0.26591286307053935,3.4926033057605267e-09,-0.12872920687057315
initiate,VERB,481,0.2902079002079004,1.4414223368826151e-06,-0.10443416973321212
isolation,NOUN,469,0.512132196162047,3.027559536998936e-07,0.11749012622093447
interview,NOUN,469,0.6937313432835821,7.881455030720901e-39,0.2990892733424696
unit,NOUN,467,0.4591648822269805,0.005209567669709904,0.06452281228586798
programming,NOUN,461,0.24316702819956626,8.823304741797956e-12,-0.15147504174154625
issue,NOUN,460,0.31882608695652176,0.0006917660238946818,-0.07581598298459075
precious,ADJ,457,0.49350109409190374,2.4227487188659844e-05,0.09885902415079123
histology,NOUN,455,0.5227692307692305,6.648540395381345e-08,0.12812716082811804
photograph,NOUN,455,0.29881318681318675,1.5047825293163148e-05,-0.09582888312792576
behalf,NOUN,454,0.5467180616740092,8.899892449310809e-11,0.15207599173289665
programme,NOUN,451,0.4732150776053216,0.0008711367724790948,0.0785730076642091
tool,NOUN,451,0.30583148558758316,7.459754012701609e-05,-0.08881058435352934
purification,NOUN,449,0.46400890868596883,0.0032065498692940685,0.06936683874485633
cdna,NOUN,445,0.2519325842696631,2.911914877788345e-10,-0.14270948567144942
thesis,NOUN,440,0.5200000000000001,2.0336952436719248e-07,0.12535793005888762
clone,NOUN,439,0.2664236902050115,1.2121382775675478e-08,-0.128218379736101
genome,NOUN,434,0.2614285714285715,5.457405862926158e-09,-0.133213498512541
grammar,NOUN,432,0.5039351851851852,6.921446041308644e-06,0.1092931152440727
format,VERB,422,0.6683412322274886,1.1738361689482101e-29,0.27369916228637614
publish,VERB,421,0.3005700712589075,5.157888225984134e-05,-0.094071998682205
outstanding,ADJ,420,0.5670714285714283,1.2076702710329977e-12,0.17242935863031583
mutant,NOUN,420,0.31747619047619047,0.0009752002728521549,-0.07716587946492204
msc,NOUN,420,0.5235238095238097,1.794806745685069e-07,0.12888173958269722
inspire,VERB,417,0.2896402877697842,6.04766615237417e-06,-0.10500178217132833
computer,NOUN,416,0.24081730769230786,3.4640135224772214e-11,-0.15382476224880465
agreement,NOUN,413,0.6035351089588391,1.509747466038915e-17,0.2088930390177266
employee,NOUN,410,0.516,1.095839253766604e-06,0.12135793005888751
numerous,ADJ,408,0.28291666666666687,2.2523392489187145e-06,-0.11172540327444563
genotyping,NOUN,403,0.5507196029776675,5.179940536806436e-10,0.15607753303655503
simulation,NOUN,403,0.2033995037220844,1.2872805156969801e-16,-0.1912425662190281
organize,VERB,403,0.5068734491315132,6.7137011677701675e-06,0.11223137919040072
stimulate,VERB,401,0.25114713216957607,1.2359053691178152e-09,-0.14349493777153643
constant,ADJ,391,0.3190537084398978,0.0015845248410406329,-0.07558836150121473
script,NOUN,388,0.17494845360824735,4.112884312408702e-21,-0.21969361633286516
translate,VERB,387,0.5040568475452196,1.4807378893748283e-05,0.10941477760410712
immunohistochemistry,NOUN,384,0.5596354166666666,1.3452420461857803e-10,0.1649933467255541
intellectual,ADJ,379,0.29356200527704485,3.968914437436044e-05,-0.10108006466406766
child,NOUN,377,0.5583554376657826,2.5058377761094043e-10,0.16371336772467004
scientist,NOUN,374,0.323529411764706,0.004996678716755729,-0.0711126581764065
draft,VERB,373,0.4944504021447723,0.00013043213133260602,0.09980833220365981
recombinant,ADJ,367,0.31231607629427804,0.0009136287180657928,-0.08232599364683446
beamline,NOUN,364,0.25502747252747254,1.4361439061259988e-08,-0.13961459741363996
stock,NOUN,362,0.2879558011049725,2.548765038885794e-05,-0.10668626883614002
implement,VERB,360,0.2860000000000001,1.1690182970829365e-05,-0.10864206994111242
pass,VERB,359,0.26805013927576615,5.846788187805171e-07,-0.12659193066534635
yeast,NOUN,358,0.30041899441340797,0.00018399766663943724,-0.09422307552770454
colony,NOUN,357,0.500672268907563,7.37080234059475e-05,0.1060301989664505
monoclonal,ADJ,356,0.24112359550561815,6.381287135609718e-10,-0.15351847443549435
opportunity,NOUN,354,0.26180790960451994,1.1312712087858952e-07,-0.13283416033659257
recruit,VERB,354,0.6042372881355932,4.715990062703214e-15,0.20959521819448068
presentation,NOUN,352,0.32426136363636365,0.006378498045559285,-0.07038070630474885
contract,NOUN,350,0.2551714285714286,3.7387834150556636e-08,-0.1394706413696839
web,NOUN,348,0.22959770114942515,4.274545246969303e-11,-0.16504436879168735
mass,NOUN,343,0.2846938775510204,1.9402466437382182e-05,-0.10994819239009213
entry,NOUN,341,0.6078885630498538,3.3177445086787824e-15,0.21324649310874133
set,NOUN,339,0.32250737463126833,0.0063915580101991856,-0.07213469530984418
study,VERB,339,0.32241887905604755,0.0063915580101991856,-0.07222319088506496
graphic,ADJ,338,0.49556213017751444,0.00023065747584448838,0.10092006023640193
organization,NOUN,332,0.5212951807228915,3.696836023794001e-06,0.126653110781779
conversation,NOUN,331,0.22356495468277945,4.439024871469853e-11,-0.17107711525833305
discuss,VERB,331,0.2900000000000001,4.88692917339967e-05,-0.10464206994111241
table,NOUN,331,0.52190332326284,4.726653243448722e-06,0.12726125332172744
space,NOUN,326,0.27527607361963213,5.230816074585408e-06,-0.11936599632148037
crew,NOUN,325,0.21969230769230755,1.8590888385907744e-11,-0.17494976224880496
website,NOUN,324,0.21540123456790103,4.937336797906712e-12,-0.17924083537321148
inspiration,NOUN,324,0.21237654320987667,1.4936436088538379e-12,-0.18226552673123583
screening,NOUN,324,0.5035185185185184,8.339645478391632e-05,0.10887644857740586
algorithm,NOUN,321,0.16869158878504675,2.2147890715353844e-18,-0.22595048115606575
clinic,NOUN,319,0.5812539184952982,2.734041828312341e-11,0.18661184855418567
drawing,NOUN,318,0.4718867924528304,0.005812584246175154,0.07724472251171788
infrastructure,NOUN,317,0.2720820189274447,5.072367634980081e-06,-0.12256005101366779
academic,ADJ,316,0.28911392405063296,8.652338111652885e-05,-0.10552814589047954
continued,ADJ,314,0.2741719745222932,8.130955080131127e-06,-0.12047009541881931
handling,NOUN,313,0.5013418530351438,0.00020740862854069726,0.10669978309403128
husbandry,NOUN,312,0.49330128205128193,0.000619556960507184,0.09865921211016943
video,NOUN,312,0.2987500000000001,0.0004907440811739832,-0.09589206994111238
examination,NOUN,304,0.4891447368421054,0.0012182433562628158,0.0945026669009929
analytical,ADJ,303,0.3131683168316834,0.0026709254646916725,-0.08147375310942911
copy,NOUN,301,0.5009302325581391,0.0003074820134466006,0.10628816261702656
