,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
53,3_Biotech/PMC3781261.nxml,1.0,Amrita Ranjan,authors;fellowship,the Ministry of New and Renewable Energy;NRE,The authors acknowledge the Ministry of New and Renewable Energy for providing NRE fellowship to Ms. Amrita Ranjan.,acknowledge;provide
58,3_Biotech/PMC4145627.nxml,0.0,Manoj Ranjan Nayak,encouragement;support,Anusandhan University,"We are thankful to Prof. Manoj Ranjan Nayak, President, Siksha O Anusandhan University for his encouragement and support.",
59,3_Biotech/PMC4145620.nxml,0.0,Emmanuel Aispuro-Hernández,Authors;support,,"Authors thank Emmanuel Aispuro-Hernández, M.Sc. for technical support and Drs.",thank
61,3_Biotech/PMC4162903.nxml,0.0,Jatin K Srivastava,contributors;review;article;chairman;facilities;compilation;review;paper,Global Group of Institutions,The Corresponding and the one of the main contributors of this review article Dr. Jatin K Srivastava is acknowledged to the chairman of Global Group of Institutions Lucknow for providing the necessary facilities during the compilation of this review paper.,acknowledge;provide
66,3_Biotech/PMC4235882.nxml,0.0,Medhat El-Sebaie,cooperation;blood;donors;participation;research,,We acknowledge the cooperation of Dr. Medhat El-Sebaie and the honorable blood donors for their participation in this research.,acknowledge
68,3_Biotech/PMC4235887.nxml,0.0,Kazuki Terauchi,A.;platensis,,A. platensis  NIES-39 was kindly provided by Dr. Kazuki Terauchi.,provide
70,3_Biotech/PMC4026454.nxml,1.0,Tamil Nadu,authors;authorities,Annamalai University,"The authors are thankful to the authorities of Annamalai University, Tamil Nadu, India.",
75,3_Biotech/PMC4026451.nxml,0.0,Matthew Benedict,suggestions,,We also thank Matthew Benedict for his helpful suggestions.,thank
76,3_Biotech/PMC4026446.nxml,1.0,Sunita Prakash,mass;spectrometers,KP,KP acknowledges Ms. Sunita Prakash for helping with mass spectrometers.,acknowledge;help
77,3_Biotech/PMC4162895.nxml,0.0,Arya Vaidya Sala,Authors;facilities;programme,TATA Trust,"Authors are grateful to the Management, Arya Vaidya Sala, Kottakkal and TATA Trust, Mumbai, for providing the facilities for taking up the programme.",provide;take
79,3_Biotech/PMC4162902.nxml,1.0,Natsuko Kurata,reference;strains;parasporin;genes,Food Research Institute;Fukuoka Industrial Technology Centre,"We thank Dr. Natsuko Kurata, Biotechnology and Food Research Institute, Fukuoka Industrial Technology Centre, Japan, for providing the reference strains of Bt for parasporin genes.",thank;provide
81,3_Biotech/PMC4162896.nxml,1.0,Parvin Shariati,authors;language,,The authors would like to acknowledge Dr. Parvin Shariati for kindly editing the English language.,like;acknowledge;edit
84,3_Biotech/PMC4624133.nxml,1.0,Meena Sakharkar,Web;interface,NUS,"The Web interface for Signal Scan was kindly provided by Ms. Meena Sakharkar at Bioinformatics Centre, NUS, Singapore.",provide
95,3_Biotech/PMC4522722.nxml,1.0,Amisha Jain,fellowship,AICTE;All India Council for Technical Education,"Amisha Jain is thankful to AICTE (All India Council for Technical Education, New Delhi, India) for fellowship.",
96,3_Biotech/PMC4919950.nxml,0.0,Aditya Shastri,Authors;research;facilities;infrastructure,"
Banasthali University","Authors sincerely acknowledge Prof. Aditya Shastri, Vice Chancellor,
Banasthali University for research facilities and infrastructure.",acknowledge
106,3_Biotech/PMC4569623.nxml,0.0,Cameron Keys,Thanks;manuscript;paper,the Center for Nanotechnology;Arizona State University,Thanks are also due to Dr. Cameron Keys from the Center for Nanotechnology in Society at Arizona State University for carefully proofreading and English editing the manuscript of the present paper.,proofread;edit
107,3_Biotech/PMC4569624.nxml,1.0,Savithri H.S.,Authors;management;facilities;work;facility,"Jain University;Department of Biochemistry;Indian Institute of Science, Bangalore;HPLC","Authors thank the management of Jain University, India for providing necessary facilities to carry out the work and Dr. Savithri H.S., Department of Biochemistry, Indian Institute of Science, Bangalore, India for providing the HPLC facility.",thank;provide;carry;provide
112,3_Biotech/PMC4522732.nxml,0.0,Prasanta Kr,authors,,The authors acknowledge Mr. Prasanta Kr.,acknowledge
116,3_Biotech/PMC4434410.nxml,0.0,Inder Kumar,assistance,,The technical assistance provided by Mr. Inder Kumar is also acknowledged.,provide;acknowledge
122,3_Biotech/PMC4701706.nxml,0.0,David East,Thanks;assistance,,Thanks are also given to Mr. David East for his technical assistance.,give
125,3_Biotech/PMC4724355.nxml,0.0,Keshab C. Mondal,author;help;laboratory;facilities,BKS;Department of Microbiology;Vidyasagar University,"One of the author, BKS would like to thank Dr. Keshab C. Mondal, Head, Department of Microbiology, Vidyasagar University, West Midnapur, West Bengal, India for his help and necessary laboratory facilities.",like;thank
126,3_Biotech/PMC4711283.nxml,0.0,Ahmed F. Abdel-Fattah,work;spirit;sir;work,,"We dedicate this work to the spirit of my dear sir Dr. Ahmed F. Abdel-Fattah, who planned this work.",dedicate;plan
128,3_Biotech/PMC4752955.nxml,0.0,Saeed Vakilian,analysis,,We would like to thank Saeed Vakilian for some statistical analysis.,like;thank
129,3_Biotech/PMC4752955.nxml,0.0,Vahid Kia,proof;reading;manuscript,,We also should thank Mr. Vahid Kia for kindly final proof-reading of the manuscript.,thank
136,3_Biotech/PMC4711287.nxml,0.0,Waheed Afzal,discussions,,Waheed Afzal for fruitful discussions.,
137,3_Biotech/PMC4752946.nxml,1.0,Tamil Nadu,authors;facilities;work,"Management;VIT University, Vellore","The authors are grateful to the Management, VIT University, Vellore, Tamil Nadu for providing the facilities for this work.",provide
138,3_Biotech/PMC4754297.nxml,1.0,Sushila Chang,authors;support;advice;production,,The authors are grateful to Sushila Chang for support and advice on the production of HA.,
143,3_Biotech/PMC4755960.nxml,0.0,Siddhartha Pal,authors;team;support;samples;stream,,The authors gratefully acknowledge the analytical team for their support in analyzing the samples and Siddhartha Pal for providing hemicellulosic hydrolysate stream.,acknowledge;analyze;provide
152,3_Biotech/PMC4746198.nxml,1.0,Shivani Uniyal,Laboratory;facilities;Fellowship,G.B. Pant University of Agriculture & Technology;Department of Science and Technology,"Laboratory facilities of G.B. Pant University of Agriculture & Technology, Pantnagar and Inspire Fellowship to Shivani Uniyal from Department of Science and Technology, New Delhi are thankfully acknowledged.",acknowledge
157,3_Biotech/PMC4909023.nxml,0.0,Mohan Reddy K.,authors;pesticide;standard;inputs;spectra,University of Petroleum and Energy Studies;Dehradun,"The authors thank I.I.H.R., Bangalore, for the pesticide analytical standard and Prof. Mohan Reddy K., University of Petroleum and Energy Studies, Dehradun, for his valuable inputs in interpreting the LC–MS spectra.",thank;interpret
161,3_Biotech/PMC4909018.nxml,1.0,Ghada A. Abu El-Heba,gene;sequencing;alignment,"Nucleic Acid;Protein Structure, Agricultural Genetic Engineering Research Institute;ARC","We would like to thank Dr. Ghada A. Abu El-Heba, Researcher, Department of Nucleic Acid and Protein Structure, Agricultural Genetic Engineering Research Institute (AGERI), ARC, Giza, Egypt, for helping us in gene sequencing and alignment.",like;thank;help
166,3_Biotech/PMC4909031.nxml,0.0,Anjani J. Varma,director;instrumentation,Kalpana D. Trimukhe;CSIR-NCL,Anjani J. Varma and Kalpana D. Trimukhe thank the director of CSIR-NCL for providing instrumentation.,thank;provide
175,3_Biotech/PMC5120031.nxml,1.0,Neda Ranjbar,collaboration;wastewater;samples,,We also wish to thank Ms. Neda Ranjbar for collaboration to provide real wastewater samples.,wish;thank;provide
176,3_Biotech/PMC5005230.nxml,0.0,Wolfgang Zachariae,genomic;yeast;strains,Max Planck Institute of Molecular Cell Biology and Genetics,"We thank Dr. Wolfgang Zachariae, Max Planck Institute of Molecular Cell Biology and Genetics, Germany for providing genomic-tagged  CDC5 - TAP  yeast strains.",thank;provide;tag
178,3_Biotech/PMC5002272.nxml,0.0,Sandeep Kale,facility,"DBT-ICT Centre for Energy Biosciences, Institute of Chemical Technology","We thank Dr. Sandeep Kale for providing HPLC facility at DBT-ICT Centre for Energy Biosciences, Institute of Chemical Technology, Mumbai, India.",thank;provide
189,3_Biotech/PMC4910840.nxml,1.0,Neha Singh,team;help;selection;field;sampling,INORA,We specially thank Neha Singh and the entire INORA team for the help during selection of field and sampling.,thank
198,3_Biotech/PMC4706830.nxml,1.0,Varsha Bioscience,Authors,Confederation of Indian Industry;CII;Department of Science and Technology;Ministry of Science & Technology;Technology Private Limited,"Authors are grateful to Confederation of Indian Industry (CII), DST (Department of Science and Technology, Ministry of Science & Technology, New Delhi, India), Varsha Bioscience and Technology Private Limited, Hyderabad for providing the Prime Minister’s Fellowship (S. Reddy).",provide
203,3_Biotech/PMC5388648.nxml,1.0,Rahma Trabelsi,work;thesis,,This work is part of a doctoral thesis prepared by Rahma Trabelsi.,prepare
204,3_Biotech/PMC5403768.nxml,0.0,Rupak Kishor,Authors;help;analysis,EDX,Authors greatfully acknowledge Mr. Rupak Kishor for his help in EDX analysis.,acknowledge
209,3_Biotech/PMC5388650.nxml,0.0,Sandeep Sancheti,authors;facilities;research;work,School of Basic Sciences;Manipal University Jaipur,"The authors are grateful to Prof. Sandeep Sancheti, President, Dean, FOS&RI and Director, School of Basic Sciences, Manipal University Jaipur, for providing necessary infrastructural facilities to carry out this research work.",provide;carry
211,3_Biotech/PMC5388660.nxml,0.0,Sharad Kumar,work;fulfillment;degree;requirement;research;campus,Amity Institute of Biotechnology;Amity University;Lucknow,"This work will be used by Sharad Kumar for partial fulfillment of the degree requirement for his doctoral research at Amity Institute of Biotechnology, Amity University Lucknow campus, Lucknow.",
214,3_Biotech/PMC5503844.nxml,0.0,Daisuke Takeda,assistance,,We thank Mr. Daisuke Takeda for his technical assistance.,thank
216,3_Biotech/PMC5559387.nxml,0.0,Raktim Mukherjee,Authors;appreciation,,"Authors extend their sincere appreciation to Dr. Raktim Mukherjee, Asst.",extend
217,3_Biotech/PMC5766454.nxml,0.0,Andrzej Kuźma,care;animals,,We would like to thank Andrzej Kuźma for special care given to the animals.,like;thank;give
219,3_Biotech/PMC5984604.nxml,0.0,Sanjay Singh,scheme,Start-Up Research Grant (Young Scientists)—Life Sciences,ILS/SERB/2015-16/01) to Dr Sanjay Singh under the scheme of Start-Up Research Grant (Young Scientists)—Life Sciences are gratefully acknowledged.,acknowledge
225,AAPS_J/PMC3282010.nxml,0.0,Urs Simmen,authors;assistance;work,Statistische Beratungen,"The authors acknowledge Dr. Urs Simmen (Schötzau & Simmen, Statistische Beratungen, Switzerland) for his assistance in statistical work.",acknowledge
226,AAPS_J/PMC2976990.nxml,0.0,Thomas Toneff,authors;assistance,,The authors thank Thomas Toneff for technical assistance.,thank
232,AAPS_J/PMC3787226.nxml,0.0,Vishwas Rai,authors;help;assistance;cell;culture;work,,The authors acknowledge Dr. Vishwas Rai for the help and assistance provided with the cell culture work.,acknowledge;provide
236,AAPS_J/PMC4147052.nxml,0.0,Jin Jin,addition;stock,Eli Lilly,"In addition, Jin Jin also holds stock in Eli Lilly.",hold
239,AAPS_J/PMC4540731.nxml,0.0,Amin Rostami-Hodjegan,employee;time;secondee;company,the University of Manchester;Simcyp Ltd,Amin Rostami-Hodjegan is an employee of the University of Manchester and a part-time secondee to Simcyp Ltd (a Certara company).,
240,AAPS_J/PMC4540731.nxml,0.0,Malcolm Rowland,board,the Simcyp Ltd,Malcolm Rowland is on the Simcyp Ltd scientific advisory board.,
251,AAPS_PharmSciTech/PMC2850488.nxml,0.0,Andrew Vincent of,,the Division of Biostatistics,Andrew Vincent of the Division of Biostatistics (,
252,AAPS_PharmSciTech/PMC3909152.nxml,0.0,Marek Hojniak,measurements;assistance,GC;the Faculty of Chemistry;University of Wrocław,"The GC-MS measurements were performed with the kind assistance of Marek Hojniak from the Faculty of Chemistry, University of Wrocław.",perform
254,AAPS_PharmSciTech/PMC4674654.nxml,0.0,Jeffrey Carter,authors;comments;manuscript,ISPE Japan Affiliate Biopharma COP;GE Healthcare Life Sciences,"The authors are grateful to ISPE Japan Affiliate Biopharma COP and Dr. Jeffrey Carter (Strategic Projects Leader, GE Healthcare Life Sciences) for the critical comments on the manuscript.",
257,ACG_Case_Rep_J/PMC4612740.nxml,0.0,John Pandolfino,mentors,Rajesh Keswani &,"I would like to acknowledge my mentors, Dr. Rajesh Keswani & Dr. John Pandolfino.",like;acknowledge
259,ACS_Appl_Energy_Mater/PMC6058286.nxml,0.0,Alexandros Vasileiadis,authors;discussions;cups;coffee;code,"Tomas Verhallen;Casper Versteylen for
","The authors thank Tomas Verhallen and Casper Versteylen for
fruitful discussions over many cups of coffee and Alexandros Vasileiadis
for testing the Matlab code.",thank;test
264,ACS_Appl_Mater_Interfaces/PMC3542915.nxml,0.0,Robert Forster,school;chemistry;use;instruments;duration;work,"A.K.
;DCU","A.K.
would also like to thank Prof. Robert Forster and Dr. Andreas Heise
from the school of chemistry, DCU, for the kind use of instruments
used in the duration of this work.",like;thank
270,ACS_Appl_Mater_Interfaces/PMC4251880.nxml,0.0,Flynn Castles,discussions;image;suggestions;calculations;chiral;phase,"Jasper
","We thank Jasper
Landman for fruitful discussions and for recording the image in Figure  1  and Flynn Castles for his suggestions on the calculations
of the chiral nematic phase.",thank;record
272,ACS_Appl_Mater_Interfaces/PMC3982972.nxml,0.0,David Frey,authors;help;sputter;coating;scanning;electron;microscopy,"the Rensselaer
Polytechnic Institute Center for Integrated Electronics","The authors would like to thank David Frey of the Rensselaer
Polytechnic Institute Center for Integrated Electronics for his help
with sputter coating and scanning electron microscopy.",like;thank
276,ACS_Appl_Mater_Interfaces/PMC3985694.nxml,0.0,Clément Cabanetos,authors;polymer,,The authors thank Dr. Clément Cabanetos for providing the PBDTTPD polymer.,thank;provide
277,ACS_Appl_Mater_Interfaces/PMC3985900.nxml,1.0,Arlene Albert,discussions;use,DSC,We thank Dr. Arlene Albert for helpful discussions and for use of her DSC.,thank
278,ACS_Appl_Mater_Interfaces/PMC3985779.nxml,0.0,Hyun Ok Ham,authors;synthesis,,"The authors are
thankful to Dr. Hyun Ok Ham for PMAP synthesis.",
280,ACS_Appl_Mater_Interfaces/PMC4333600.nxml,1.0,Nadia Stelmashenko,authors;discussions;assistance,"Dr. Talia
S. Gershon","The authors
acknowledge useful discussions with Dr. Talia
S. Gershon and the assistance of Dr. Nadia Stelmashenko.",acknowledge
281,ACS_Appl_Mater_Interfaces/PMC4344370.nxml,0.0,Udo Mundloch,authors;help;ultracentrifugation,"the Institute of Advanced
Materials and Processes;ZMP","The authors thank Udo Mundloch and the Institute of Advanced
Materials and Processes (ZMP Fürth) for help with ultracentrifugation.",thank
282,ACS_Appl_Mater_Interfaces/PMC3969097.nxml,0.0,Dipankar Koley,discussion,,"We thank Dr.
Dipankar Koley for his useful discussion.",thank
283,ACS_Appl_Mater_Interfaces/PMC3969097.nxml,0.0,"Sheng Zheng
",discussions;element;modeling;fluxes;lumen;catheters,,"We also thank Sheng Zheng
for his discussions regarding the finite element modeling of NO fluxes
from the dual lumen catheters.",thank
287,ACS_Appl_Mater_Interfaces/PMC4382987.nxml,0.0,Daniel Jacobsson,discussions,,We thank Daniel Jacobsson for fruitful discussions.,thank
289,ACS_Appl_Mater_Interfaces/PMC4025575.nxml,0.0,Akshay K. Swain,authors;help;magneto;measurements,IIT Bombay,"The authors acknowledge the help
of Akshay K. Swain, IIT Bombay, India,in SQUID magneto-measurements.
",acknowledge
290,ACS_Appl_Mater_Interfaces/PMC4025577.nxml,0.0,Denis Dupuis,authors;machining;expertise,Scott Maccorkle,"The authors thank
Scott Maccorkle and Denis Dupuis for their machining expertise.",thank
292,ACS_Appl_Mater_Interfaces/PMC4095936.nxml,1.0,Valerie Lynch-Holm,authors;assistance;histology,"Christine
Davitt;Franceschi Microscopy;Washington
State University","The authors would like to thank Valerie Lynch-Holm and Christine
Davitt from Franceschi Microscopy and Imaging Center at Washington
State University for their technical assistance with histology.",like;thank
293,ACS_Appl_Mater_Interfaces/PMC4095936.nxml,0.0,Neal M. Davies,authors;authors;lab;vivo;study,,"The
authors would also like to thank Prof. Neal M. Davies for allowing
the authors to use his lab for  in vivo  study.",like;thank;allow;use
294,ACS_Appl_Mater_Interfaces/PMC4094256.nxml,0.0,"Stephan Wilkens
",assistance;TEM;analysis,TEM,"We greatly acknowledge Prof. Stephan Wilkens
for assistance
in TEM analysis.",acknowledge
295,ACS_Appl_Mater_Interfaces/PMC4094256.nxml,1.0,Maria Popescu,authors;proof;manuscript,,"The authors also thank Ms. Maria Popescu for proof
reading the manuscript.",thank;read
299,ACS_Appl_Mater_Interfaces/PMC4149329.nxml,0.0,Carl Zeiss,use;equipment,FE-SEM;San Francisco State University,"We gratefully acknowledge use of the Carl Zeiss Ultra 55 FE-SEM and
supporting equipment at San Francisco State University.",acknowledge;support
300,ACS_Appl_Mater_Interfaces/PMC4149329.nxml,1.0,Jean Kim,assistance,SEM,"We would also
like to thank Jean Kim for her assistance with the SEM.",thank
304,ACS_Appl_Mater_Interfaces/PMC4160263.nxml,0.0,Stanford Bio-X,fellowship,"National
Institute of Biomedical Imaging;Bioengineering Grant R01 EB006745
;the American Heart Association (Western States Affiliates","National
Institute of Biomedical Imaging and Bioengineering Grant R01 EB006745
Stanford Bio-X, the American Heart Association (Western States Affiliates)
through the postdoctoral fellowship 14POST18360018.",
308,ACS_Appl_Mater_Interfaces/PMC4173743.nxml,0.0,Khalid Sayood,authors;help;image;analysis,,"The authors thank Professor Khalid Sayood for his help with the image
analysis.",thank
310,ACS_Appl_Mater_Interfaces/PMC4554298.nxml,0.0,Martin Fuller,help;TEM;imaging,TEM,"We also thank Mr. Martin Fuller for help in TEM imaging.
",thank
312,ACS_Appl_Mater_Interfaces/PMC4559841.nxml,0.0,Dieter Baurecht,access;spectroscopy;access;TGA,"the University of Vienna for access
;ATR-FTIR;the VIBT Extremophile Center
;TGA","We thank Prof. Dieter Baurecht from the University of Vienna for access
to ATR-FTIR spectroscopy and acknowledge the VIBT Extremophile Center
for access to TGA.",thank;acknowledge
313,ACS_Appl_Mater_Interfaces/PMC4189622.nxml,0.0,Seed Grant,,Michigan Technological University;MTU,Seed Grant provided by Michigan Technological University (MTU).,provide
317,ACS_Appl_Mater_Interfaces/PMC5235241.nxml,0.0,Robert M. McMeeking,authors,,"The
authors acknowledge Prof. Robert M. McMeeking (UC Santa Barbara, USA),
",acknowledge
320,ACS_Appl_Mater_Interfaces/PMC5235241.nxml,0.0,Michael M. Becker,discussions;time;server,"Fraunhofer
Institute for Nondestructive Testing","S.C.L.F. would like to thank Michael M. Becker (Fraunhofer
Institute for Nondestructive Testing, Saarbrücken) for discussions
and computing time on the Comsol server.",like;thank;compute
321,ACS_Appl_Mater_Interfaces/PMC4232249.nxml,0.0,"Thomas Sorensen
",help;synthesis,,"We appreciate Thomas Sorensen
for his help with Me-ADOTA·Cl synthesis.",appreciate
326,ACS_Appl_Mater_Interfaces/PMC4326779.nxml,1.0,Kate Malachowski,design;gripper;masks;discussions,,"We would like to thank Kate Malachowski for the initial design of
the gripper masks, and helpful discussions.",like;thank
328,ACS_Appl_Mater_Interfaces/PMC4326779.nxml,1.0,Evin Gultepe’s,suggestion;incorporation;oxide;structures,,"We acknowledge Evin Gultepe’s suggestion of incorporation of
iron(III) oxide into the polymeric structures to make them ferromagnetic.",acknowledge
329,ACS_Appl_Mater_Interfaces/PMC4734612.nxml,0.0,Amar Kumbhar,authors;gratitude;expertise;assistance;TEM,"the UNC Chapel Hill
Analytical and Nanofabrication Laboratory (CHANL;TEM","The authors
express their gratitude to Dr. Amar Kumbhar at the UNC Chapel Hill
Analytical and Nanofabrication Laboratory (CHANL) for expertise and
assistance with the TEM.",express
335,ACS_Appl_Mater_Interfaces/PMC4832396.nxml,0.0,Nail Shavaleev,synthesis;measurements;contributions;spectroscopy;measurements;choice;materials,,"We thank Dr. Nail Shavaleev for the synthesis
of  1  and  2 , for electrochemical measurements,
for contributions to the UV−vis spectroscopy measurements and
for suggesting the choice of materials.",thank;suggest
343,ACS_Appl_Mater_Interfaces/PMC5138009.nxml,1.0,Christine Grainger-Boultby,Thanks;expertise;imaging;samples,"FRMS;RSci;MIST;Nanoscale and Microscale Research Centre;
University of Nottingham;SEM","Thanks to Christine Grainger-Boultby,
B.A., FRMS, RSci, MIST, Nanoscale and Microscale Research Centre,
University of Nottingham, for her expertise in SEM imaging of the
samples.",
344,ACS_Appl_Mater_Interfaces/PMC5138009.nxml,1.0,Emily F. Smith,spectra;data;interpretation,"Nanoscale and Microscale Research
Centre (NMRC;University of Nottingham","Dr. Emily F. Smith at the Nanoscale and Microscale Research
Centre (NMRC), University of Nottingham, for acquiring the XPS spectra
and data interpretation.",acquire
345,ACS_Appl_Mater_Interfaces/PMC4613868.nxml,1.0,Bing Fu,help;use;software,,"We also want to thank Ms. Bing Fu for the help with the use
of the Matlab software.",want;thank
348,ACS_Appl_Mater_Interfaces/PMC4264858.nxml,0.0,Young Ho Seo,discussion,Kangwon National University,"H.S. greatly acknowledges
Prof. Young Ho Seo at Kangwon National University in Korea for his
valuable discussion.",acknowledge
353,ACS_Appl_Mater_Interfaces/PMC4721522.nxml,0.0,Albert Yee,use;microscope,,"We are grateful to Dr. Albert Yee for the use of an optical microscope.
",
357,ACS_Appl_Mater_Interfaces/PMC4768684.nxml,0.0,Saleh Jabarin,,Univ,Also acknowledged are Prof. Saleh Jabarin (Univ.,acknowledge
358,ACS_Appl_Mater_Interfaces/PMC4768684.nxml,1.0,Jennifer Brown,use;rheometer,,"of Toledo)
for the use of his rheometer, Jennifer Brown (Univ.",
360,ACS_Appl_Mater_Interfaces/PMC4768684.nxml,1.0,Judith Fulton,chemical;structures;assistance;cell;harvest;guidance;cell;culture;techniques,Akron General Medical Center,"of Toledo) for drawing the chemical structures, and Dr. Judith Fulton
(Akron General Medical Center) for assistance in cell harvest and
guidance on cell culture techniques.",draw
365,ACS_Appl_Mater_Interfaces/PMC5355901.nxml,1.0,Renee Kroon,help;measurements;discussions;suggestions,SEM,"We thank Anders Mårtensson
for help with SEM measurements and Dr. Renee Kroon for engaging discussions
and helpful suggestions.",thank
367,ACS_Appl_Mater_Interfaces/PMC5384045.nxml,0.0,Oleg Konovalov,authors;provision;beamtime,"the European Synchrotron Radiation Facility;ESRF;Federico Zontone
","The
authors acknowledge the European Synchrotron Radiation Facility (ESRF)
for provision of beamtime and thank Oleg Konovalov and Federico Zontone
",acknowledge;thank
371,ACS_Appl_Mater_Interfaces/PMC5432960.nxml,0.0,Mike Ward,help;TEM;imaging,University of Leeds;TEM,"We thank Dr. Mike Ward (University of Leeds) for help
in TEM imaging.",thank
373,ACS_Appl_Mater_Interfaces/PMC5437660.nxml,0.0,Maurice Franssen,reading;manuscript;stimulating;discussions;reviewers;versions;manuscript;series;comments,,"We thank Dr. Maurice Franssen and Sjoerd
Slagman for the critical reading of the manuscript and stimulating
discussions, and several reviewers of earlier versions of this manuscript
for a series of highly constructive comments.",thank
374,ACS_Appl_Mater_Interfaces/PMC5443609.nxml,0.0,Ignacio Martini,contributions;help;experiments,"the
University of California, Los Angeles;XPS","We also acknowledge the contributions of Dr. Ignacio Martini at the
University of California, Los Angeles for help with XPS experiments.
",acknowledge
375,ACS_Appl_Mater_Interfaces/PMC5445506.nxml,0.0,Zhu Xiaoying,,"Patterning and Fabrication
Group of the Institute of Materials Research and Engineering","We gratefully acknowledge Zhu Xiaoying from Patterning and Fabrication
Group of the Institute of Materials Research and Engineering (IMRE),
",acknowledge;xiaoy
376,ACS_Appl_Mater_Interfaces/PMC5445506.nxml,0.0,Augustine Cheong,help;measurements;facility;help;nanoindentation,the SERC Nanofabrication;IMRE,"Singapore, for his help with ζ-potential measurements and Shen
Lu and Augustine Cheong from the SERC Nanofabrication, and Characterisation
(SNFC) facility at IMRE for their help with nanoindentation.",
